name,type,win_rate,gamesplayed
Lumber Yard,brown,0.34543454345434543,9999.0
Stone Pit,brown,0.3527116269761857,9994.0
Clay Pool,brown,0.35626634479983904,9942.0
Ore Vein,brown,0.29892989298929895,9999.0
Clay Pit,brown,0.3595,10000.0
Timber Yard,brown,0.4123,10000.0
Glassworks,grey,0.31806137276690316,11699.0
Press,grey,0.20435967302452315,367.0
Loom,grey,0.35004760393525863,9453.0
Baths,blue,0.37535612535612534,9828.0
Altar,blue,0.1953143676786995,4183.0
Theatre,blue,0.11648351648351649,910.0
East Trading Post,yellow,0.34671204083675305,9991.0
West Trading Post,yellow,0.33430087078370535,9991.0
Marketplace,yellow,0.3333333333333333,3.0
Stockade,red,0.39360506691183983,9789.0
Barracks,red,0.36072184696037907,9919.0
Guard Tower,red,0.35488100040338844,9916.0
Apothecary,green,0.1568627450980392,51.0
Workshop,green,0.6666666666666666,3.0
Scriptorium,green,0.0,3.0
Sawmill,brown,0.30590563482970523,9601.0
Quarry,brown,0.32130514332181337,9838.0
Brickyard,brown,0.36332819722650234,9735.0
Foundry,brown,0.35653235653235654,2457.0
Aqueduct,blue,0.372472141972761,9692.0
Temple,blue,0.3597061909758657,9530.0
Statue,blue,0.36381835423032344,9491.0
Courthouse,blue,0.3618374558303887,1415.0
Forum,yellow,0.3,9930.0
Caravansery,yellow,0.3691720257234727,9952.0
Vineyard,yellow,0.37273727372737275,9999.0
Walls,red,0.4141048824593128,9401.0
Stables,red,0.34908872421389947,9986.0
Archery Range,red,0.3782,10000.0
Laboratory,green,0.0,1.0
Library,green,0.16666666666666666,6.0
School,green,0.12033195020746888,241.0
Pantheon,blue,0.36671040678308264,9907.0
Gardens,blue,0.32424764413821056,9869.0
Town Hall,blue,0.3441473916090918,9987.0
Palace,blue,0.3631743972321332,9249.0
Senate,blue,0.35834333733493395,9996.0
Haven,yellow,0.35228586442459275,9515.0
Lighthouse,yellow,0.3507560815253123,9126.0
Arena,yellow,0.3038134257800189,9519.0
Fortifications,red,0.41890495867768596,9680.0
Arsenal,red,0.32735520624538456,9479.0
 Siege Workshop,red,0.3764785400473133,8877.0
Lodge,green,0.2222222222222222,36.0
Observatory,green,0.25,4.0
Workers Guild,purple,0.35043077539571227,4991.0
Craftmen's Guild,purple,0.29906268306971295,3414.0
Traders Guild,purple,0.347408400357462,4476.0
Philosophers Guild,purple,0.20364741641337386,329.0
Spies Guild,purple,0.33014256619144605,4910.0
Strategists Guild,purple,0.4442032132001737,4606.0
Shipowners Guild,purple,0.37773128777312875,4302.0
Magistrates Guild,purple,0.3878919345296786,5071.0
Builders Guild,purple,0.40878447395301326,4895.0
