name,type,avg_points,gamesplayed
Lumber Yard,brown,46.3351,10000
Stone Pit,brown,45.884,10000
Clay Pool,brown,46.057581376184594,9708
Ore Vein,brown,46.2156,10000
Clay Pit,brown,46.2711,10000
Timber Yard,brown,47.6948,10000
Glassworks,grey,45.944647622813086,10117
Press,grey,46.27581372058087,9985
Loom,grey,46.15477977977978,7992
Baths,blue,46.482377332411886,5788
Altar,blue,45.57639751552795,2415
Theatre,blue,45.22222222222222,45
East Trading Post,yellow,46.22965587044534,9880
West Trading Post,yellow,46.1574455266593,9959
Marketplace,yellow,46.033952938648326,9307
Stockade,red,46.443018159048215,9582
Barracks,red,46.62269815852682,9992
Guard Tower,red,46.3122557370478,9979
Apothecary,green,47.55872969837587,6896
Workshop,green,47.27570808879816,7838
Scriptorium,green,47.88250242013553,8264
Sawmill,brown,45.655195590805214,7439
Quarry,brown,46.20669483262918,3077
Brickyard,brown,45.387625113739766,9891
Foundry,brown,44.21900826446281,484
Aqueduct,blue,46.588572823831036,8191
Temple,blue,45.574042792792795,3552
Statue,blue,45.976628543013426,2011
Courthouse,blue,47.34949234949235,6993
Forum,yellow,45.63877010792099,9822
Caravansery,yellow,47.01121762186416,9806
Vineyard,yellow,46.03317249698432,9948
Walls,red,47.49734513274336,7910
Stables,red,47.028194912657064,9789
Archery Range,red,46.851295907135,9993
Dispensary,green,47.446586082979415,9183
Laboratory,green,46.83287116040955,9376
Library,green,47.68864152166865,9253
School,green,47.02479506122862,9881
Pantheon,blue,46.65233377591666,9791
Gardens,blue,45.1895411741134,9982
Town Hall,blue,45.76381229840808,9611
Palace,blue,47.51858316221766,9740
Senate,blue,46.578873097470016,9921
Haven,yellow,46.22311768602341,9058
Lighthouse,yellow,45.803513541775594,9563
Arena,yellow,44.542164441321155,2846
Fortifications,red,46.13971671388102,8825
Arsenal,red,44.98829898707649,5726
 Siege Workshop,red,44.75915032679739,9180
Lodge,green,48.84130503642699,6314
Observatory,green,48.282150955620345,6174
University,green,48.215429079590926,8996
Academy,green,48.2984375,7040
Study,green,47.5916026625704,9765
Workers Guild,purple,46.51584436421982,2493
Traders Guild,purple,47.3105749486653,1948
Philosophers Guild,purple,48.31166848418757,4585
Spies Guild,purple,45.48253228879949,4723
Strategists Guild,purple,46.57866795366795,4144
Shipowners Guild,purple,47.25972313777192,1517
Scientists Guild,purple,48.78587393831024,4474
Magistrates Guild,purple,45.83433133732535,4008
Builders Guild,purple,45.98691159586682,4355
