name,type,avg_points,gamesplayed
Lumber Yard,brown,52.72960372960373,3432
Stone Pit,brown,52.47582145071296,3226
Clay Pool,brown,52.54006309148265,3170
Ore Vein,brown,52.86768149882904,3416
Clay Pit,brown,52.848259446593275,3361
Timber Yard,brown,52.84460260972717,4215
Glassworks,grey,52.398809523809526,3360
Press,grey,53.01219866395585,3443
Loom,grey,52.35560423512231,2739
Baths,blue,52.48816120906801,1985
Altar,blue,52.38191632928475,741
Theatre,blue,51.72727272727273,11
East Trading Post,yellow,52.26058437686345,3354
West Trading Post,yellow,52.43600605143722,3305
Marketplace,yellow,52.48736462093863,3047
Stockade,red,52.458432304038006,3368
Barracks,red,52.68162810147756,3587
Guard Tower,red,52.44784382284382,3432
Apothecary,green,54.22519509476031,2691
Workshop,green,53.62678969137767,3143
Scriptorium,green,53.97973568281938,3405
Sawmill,brown,52.40281329923274,2346
Quarry,brown,52.55487804878049,1148
Brickyard,brown,52.22640195053988,2871
Foundry,brown,51.11029411764706,136
Aqueduct,blue,52.32805350228793,2841
Temple,blue,51.91565135895033,1067
Statue,blue,52.27064220183486,654
Courthouse,blue,53.71675874769797,2715
Forum,yellow,52.01034367701035,2997
Caravansery,yellow,52.63069867817642,3707
Vineyard,yellow,52.21210268948655,3272
Walls,red,52.47355548761846,3271
Stables,red,52.64183457051962,3772
Archery Range,red,52.68278270212195,3723
Dispensary,green,54.025654730090864,3742
Laboratory,green,53.83477011494253,3480
Library,green,53.81138975966562,3828
School,green,53.624768457263826,3779
Pantheon,blue,52.505666957279864,3441
Gardens,blue,51.80677009873061,2836
Town Hall,blue,51.978987254564245,2903
Palace,blue,52.72456320657759,3892
Senate,blue,52.610169491525426,3599
Haven,yellow,52.146357838200736,2979
Lighthouse,yellow,52.153380423814326,2973
Arena,yellow,51.29841656516443,821
Fortifications,red,51.91326188881447,2986
Arsenal,red,51.40425531914894,1645
 Siege Workshop,red,51.91858037578288,2395
Lodge,green,54.331083361457985,2963
Observatory,green,54.650285714285715,2625
University,green,54.0144530276601,4013
Academy,green,53.954805856142585,3142
Study,green,53.80421465327126,4081
Workers Guild,purple,52.22923588039867,903
Traders Guild,purple,53.004070556309365,737
Philosophers Guild,purple,53.72832980972516,1892
Spies Guild,purple,51.83946251768034,1414
Strategists Guild,purple,53.38293370944993,1418
Shipowners Guild,purple,52.686440677966104,590
Scientists Guild,purple,54.14578370652692,2099
Magistrates Guild,purple,52.02120717781403,1226
Builders Guild,purple,52.10992907801418,1410
