name,type,win_rate,gamesplayed
Lumber Yard,brown,0.3432,10000
Stone Pit,brown,0.3226,10000
Clay Pool,brown,0.3265348166460651,9708
Ore Vein,brown,0.3416,10000
Clay Pit,brown,0.3361,10000
Timber Yard,brown,0.4215,10000
Glassworks,grey,0.3321142631214787,10117
Press,grey,0.3448172258387581,9985
Loom,grey,0.3427177177177177,7992
Baths,blue,0.34295093296475465,5788
Altar,blue,0.306832298136646,2415
Theatre,blue,0.24444444444444444,45
East Trading Post,yellow,0.3394736842105263,9880
West Trading Post,yellow,0.33186062857716636,9959
Marketplace,yellow,0.327387987536263,9307
Stockade,red,0.35149238154873724,9582
Barracks,red,0.35898718975180144,9992
Guard Tower,red,0.34392223669706384,9979
Apothecary,green,0.3902262180974478,6896
Workshop,green,0.400995151824445,7838
Scriptorium,green,0.41202807357212,8264
Sawmill,brown,0.3153649684097325,7439
Quarry,brown,0.3730906727331817,3077
Brickyard,brown,0.2902638762511374,9891
Foundry,brown,0.2809917355371901,484
Aqueduct,blue,0.3468440971798315,8191
Temple,blue,0.30039414414414417,3552
Statue,blue,0.3252113376429637,2011
Courthouse,blue,0.38824538824538823,6993
Forum,yellow,0.30513133781307267,9822
Caravansery,yellow,0.3780338568223537,9806
Vineyard,yellow,0.3289103337354242,9948
Walls,red,0.41352718078381795,7910
Stables,red,0.3853304729798754,9789
Archery Range,red,0.37256079255478836,9993
Dispensary,green,0.40749210497658717,9183
Laboratory,green,0.371160409556314,9376
Library,green,0.4137036636766454,9253
School,green,0.38245116891002934,9881
Pantheon,blue,0.35144520477989993,9791
Gardens,blue,0.2841114005209377,9982
Town Hall,blue,0.30204973467901364,9611
Palace,blue,0.3995893223819302,9740
Senate,blue,0.36276585021671204,9921
Haven,yellow,0.3288805475822477,9058
Lighthouse,yellow,0.3108857053225975,9563
Arena,yellow,0.2884750527055516,2846
Fortifications,red,0.338356940509915,8825
Arsenal,red,0.28728606356968217,5726
 Siege Workshop,red,0.2608932461873638,9180
Lodge,green,0.46927462781121315,6314
Observatory,green,0.42517006802721086,6174
University,green,0.44608714984437525,8996
Academy,green,0.44630681818181817,7040
Study,green,0.41792114695340504,9765
Workers Guild,purple,0.3622141997593261,2493
Traders Guild,purple,0.37833675564681724,1948
Philosophers Guild,purple,0.41264994547437295,4585
Spies Guild,purple,0.29938598348507306,4723
Strategists Guild,purple,0.3421814671814672,4144
Shipowners Guild,purple,0.3889255108767304,1517
Scientists Guild,purple,0.4691551184622262,4474
Magistrates Guild,purple,0.3058882235528942,4008
Builders Guild,purple,0.3237657864523536,4355
