model,points,win,nb_cards_played
0,40,0,16
1,47,0,16
2,53,1,17
0,35,0,18
1,52,0,17
2,70,1,18
0,48,0,17
1,38,0,14
2,70,1,18
0,27,0,13
1,45,0,18
2,68,1,18
0,43,0,17
1,44,0,14
2,60,1,16
0,52,0,16
1,53,1,17
2,51,0,16
0,49,1,16
1,43,0,15
2,49,1,16
0,41,0,16
1,47,0,16
2,69,1,18
0,44,0,13
1,56,1,14
2,51,0,18
0,54,0,17
1,33,0,15
2,55,1,18
0,49,1,15
1,38,0,15
2,49,1,15
0,48,1,15
1,45,0,14
2,44,0,16
0,33,0,16
1,45,0,14
2,55,1,18
0,37,0,15
1,43,1,15
2,38,0,17
0,43,0,15
1,47,1,17
2,46,0,17
0,57,1,17
1,45,0,16
2,42,0,16
0,52,1,15
1,47,0,16
2,33,0,17
0,39,0,14
1,52,1,16
2,48,0,15
0,46,0,12
1,47,1,16
2,36,0,16
0,44,0,17
1,46,0,17
2,52,1,17
0,44,0,14
1,38,0,14
2,54,1,18
0,37,0,13
1,47,0,13
2,53,1,18
0,47,0,13
1,44,0,15
2,67,1,18
0,57,1,17
1,45,0,16
2,54,0,17
0,50,1,14
1,41,0,15
2,48,0,17
0,56,1,15
1,44,0,18
2,55,0,17
0,42,0,17
1,36,0,16
2,50,1,17
0,38,0,14
1,46,0,17
2,56,1,18
0,43,1,15
1,35,0,14
2,42,0,17
0,41,0,16
1,46,1,14
2,44,0,17
0,51,1,14
1,47,0,17
2,50,0,17
0,44,0,18
1,44,0,16
2,49,1,17
0,39,0,17
1,50,0,15
2,60,1,18
0,39,0,16
1,54,1,17
2,50,0,17
0,45,1,13
1,42,0,12
2,41,0,16
0,47,0,15
1,41,0,16
2,57,1,17
0,45,1,15
1,43,0,16
2,45,1,16
0,58,1,16
1,31,0,12
2,57,0,18
0,45,0,17
1,60,0,17
2,63,1,17
0,57,1,14
1,39,0,15
2,56,0,16
0,52,0,17
1,53,0,14
2,62,1,17
0,45,1,14
1,38,0,14
2,27,0,17
0,46,0,16
1,36,0,16
2,59,1,17
0,43,0,13
1,49,0,14
2,50,1,17
0,60,1,17
1,45,0,15
2,50,0,17
0,25,0,15
1,60,1,18
2,54,0,17
0,47,1,13
1,44,0,14
2,43,0,16
0,49,1,14
1,46,0,17
2,47,0,17
0,44,0,14
1,40,0,14
2,56,1,16
0,37,0,13
1,44,1,14
2,31,0,12
0,55,1,16
1,39,0,16
2,55,1,17
0,43,0,16
1,50,1,15
2,45,0,18
0,45,0,16
1,39,0,15
2,60,1,18
0,51,0,14
1,43,0,15
2,54,1,18
0,34,0,14
1,56,1,16
2,41,0,16
0,43,0,16
1,40,0,15
2,60,1,18
0,50,0,17
1,39,0,15
2,66,1,18
0,58,1,15
1,44,0,15
2,47,0,17
0,43,0,15
1,45,0,18
2,48,1,18
0,57,1,15
1,41,0,15
2,48,0,17
0,50,0,16
1,45,0,17
2,56,1,17
0,39,0,14
1,51,1,15
2,44,0,17
0,52,0,16
1,32,0,15
2,66,1,18
0,52,1,13
1,44,0,14
2,46,0,16
0,48,0,16
1,43,0,16
2,69,1,17
0,46,0,13
1,44,0,15
2,58,1,18
0,39,0,16
1,41,0,15
2,60,1,18
0,39,0,16
1,42,0,15
2,52,1,18
0,46,1,15
1,42,0,13
2,43,0,15
0,45,1,16
1,39,0,15
2,40,0,18
0,43,0,17
1,41,0,15
2,77,1,18
0,44,0,17
1,44,0,17
2,65,1,16
0,56,0,17
1,39,0,14
2,71,1,18
0,50,1,14
1,43,0,15
2,49,0,16
0,37,0,14
1,48,0,16
2,68,1,18
0,42,0,14
1,41,0,17
2,65,1,18
0,45,1,15
1,43,0,15
2,42,0,17
0,45,0,17
1,45,0,16
2,64,1,17
0,40,0,13
1,47,0,17
2,60,1,18
0,57,1,16
1,39,0,15
2,45,0,17
0,41,0,13
1,58,0,16
2,66,1,18
0,44,0,14
1,47,0,18
2,50,1,18
0,43,0,15
1,42,0,17
2,52,1,18
0,50,0,14
1,55,1,16
2,47,0,15
0,50,0,14
1,43,0,13
2,51,1,17
0,53,0,17
1,46,0,17
2,55,1,16
0,50,0,15
1,47,0,17
2,76,1,18
0,51,0,14
1,43,0,18
2,55,1,17
0,46,0,16
1,53,0,14
2,61,1,17
0,43,0,15
1,45,0,15
2,49,1,16
0,44,0,15
1,44,0,16
2,50,1,17
0,48,0,16
1,41,0,14
2,61,1,18
0,54,1,16
1,42,0,12
2,35,0,17
0,52,0,16
1,34,0,18
2,70,1,18
0,58,0,16
1,42,0,17
2,61,1,17
0,33,0,12
1,43,0,17
2,55,1,17
0,58,1,17
1,46,0,17
2,54,0,16
0,42,0,16
1,49,0,18
2,51,1,16
0,44,0,15
1,40,0,15
2,55,1,18
0,42,0,16
1,43,1,16
2,37,0,15
0,50,0,16
1,34,0,15
2,52,1,17
0,39,0,15
1,43,0,16
2,62,1,16
0,45,0,16
1,43,0,15
2,61,1,17
0,46,0,15
1,54,0,15
2,69,1,17
0,46,0,16
1,34,0,15
2,66,1,18
0,42,0,15
1,51,0,13
2,61,1,18
0,31,0,16
1,55,0,18
2,59,1,18
0,42,0,17
1,44,0,17
2,66,1,18
0,51,1,13
1,40,0,17
2,43,0,16
0,54,1,13
1,42,0,15
2,47,0,18
